       100   -0.2507875475E+04   -0.2184000000E+02    0.4263900414E+04   2240     22      6     16   3001    122     37     39
       200   -0.2515081825E+04   -0.2184000000E+02    0.4299054659E+04   2281     22      2     19   2971    115     37     39
       300   -0.2511841617E+04   -0.2184000000E+02    0.4320206944E+04   2283     22      4     16   3052    116     37     39
       400   -0.2514631458E+04   -0.2184000000E+02    0.4284708811E+04   2277     22      2     14   3038    113     37     39
       500   -0.2509746334E+04   -0.2184000000E+02    0.4283509966E+04   2247     22      3     19   3093    108     37     39
       600   -0.2516505548E+04   -0.2184000000E+02    0.4334793712E+04   2290     22      5     18   3095    122     37     39
       700   -0.2513521331E+04   -0.2184000000E+02    0.4293242011E+04   2276     21      5     15   3003    126     37     39
       800   -0.2524417467E+04   -0.2184000000E+02    0.4327890814E+04   2314     22      5     17   3025    120     37     39
       900   -0.2503258865E+04   -0.2184000000E+02    0.4279525609E+04   2246     22      7     18   2899    118     37     39
      1000   -0.2521605006E+04   -0.2184000000E+02    0.4306895980E+04   2284     22      5     17   3089    126     37     39
      1100   -0.2545407243E+04   -0.2184000000E+02    0.4295067951E+04   2318     22      7     18   3119    145     37     39
      1200   -0.2488791923E+04   -0.2218000000E+02    0.4277854716E+04   2213     21      8     12   2972    136     37     41
      1300   -0.2513055290E+04   -0.2184000000E+02    0.4298686520E+04   2262     22      3     15   3093    134     37     39
      1400   -0.2542288848E+04   -0.2184000000E+02    0.4314934119E+04   2313     22      4     20   3176    143     37     39
      1500   -0.2474775564E+04   -0.2184000000E+02    0.4259220449E+04   2181     20      5     14   2991    108     37     39
      1600   -0.2480777870E+04   -0.2184000000E+02    0.4259600820E+04   2178     21      5     20   3008    100     37     39
      1700   -0.2521100577E+04   -0.2218000000E+02    0.4337292696E+04   2310     22      7     16   3144     98     37     41
      1800   -0.2511639795E+04   -0.2236000000E+02    0.4326507650E+04   2295     22      9     14   3025    105     37     43
      1900   -0.2502692527E+04   -0.2184000000E+02    0.4289639550E+04   2245     21      8     20   3007     99     37     39
      2000   -0.2506101539E+04   -0.2184000000E+02    0.4302106953E+04   2265     22      2     16   3010    115     37     39
      2100   -0.2511658462E+04   -0.2184000000E+02    0.4279734857E+04   2255     22      3     16   3072    117     37     39
      2200   -0.2523217430E+04   -0.2184000000E+02    0.4317273982E+04   2316     21      4     19   2980    107     37     39
      2300   -0.2516274254E+04   -0.2184000000E+02    0.4292866985E+04   2271     22      5     17   3072    113     37     39
      2400   -0.2522822786E+04   -0.2184000000E+02    0.4312822629E+04   2318     22      5     14   2912    128     37     39
      2500   -0.2512116630E+04   -0.2184000000E+02    0.4317548240E+04   2284     22     10     15   2941    131     37     39
      2600   -0.2504887789E+04   -0.2184000000E+02    0.4278856045E+04   2257     20      5     18   3028     91     37     39
      2700   -0.2501002740E+04   -0.2184000000E+02    0.4337439504E+04   2273     22      8     17   2982    116     37     39
      2800   -0.2536622475E+04   -0.2184000000E+02    0.4310355606E+04   2315     21      7     19   3080    136     37     39
      2900   -0.2523180706E+04   -0.2184000000E+02    0.4277075142E+04   2270     22      8     18   3001    138     37     39
      3000   -0.2481667682E+04   -0.2184000000E+02    0.4285122682E+04   2193     22      5     20   2900    127     37     39
      3100   -0.2507564319E+04   -0.2184000000E+02    0.4283436461E+04   2234     22      5     17   3041    144     37     39
      3200   -0.2532032487E+04   -0.2184000000E+02    0.4285265663E+04   2294     22      4     18   3053    138     37     39
      3300   -0.2524325502E+04   -0.2236000000E+02    0.4306677224E+04   2303     22      4     15   3051    122     37     43
      3400   -0.2520357697E+04   -0.2184000000E+02    0.4318357630E+04   2286     22      5     17   3090    132     37     39
      3500   -0.2521656351E+04   -0.2184000000E+02    0.4303046322E+04   2305     22      3     14   3013    116     37     39
      3600   -0.2507115642E+04   -0.2184000000E+02    0.4272504197E+04   2234     22      5     17   2947    151     37     39
      3700   -0.2529691455E+04   -0.2184000000E+02    0.4322367665E+04   2318     22      6     15   3099    121     37     39
      3800   -0.2522618499E+04   -0.2184000000E+02    0.4290468648E+04   2277     22      4     15   3092    137     37     39
