           1           1           2           6           5           5
           1           2           5           1           5           6
           1           3           5           6           5           5
           1           4           5           2           5           4
           1           5           4           1           3           2
           1           6           3           1           4           2
           1           7           4           1           2           2
           1           8           6           5           1           5
           1           9           1           5           1           1
           1          10           1           5           1           5
           1          11           3           1           3           1
           1          12           1           6           2           3
           1          13           3           4           4           4
           1          14           5           2           1           1
           1          15           1           6           4           4
           1          16           4           5           4           4
           1          17           1           5           3           6
           1          18           6           4           6           6
           1          19           6           5           1           4
           1          20           3           1           5           4
           1          21           5           1           6           6
           1          22           6           3           1           3
           1          23           1           5           5           1
           1          24           5           5           4           1
           1          25           4           1           3           4
           1          26           3           5           4           5
           1          27           3           3           4           1
           1          28           4           2           2           2
           1          29           2           4           1           4
           1          30           4           2           1           2
           1          31           2           6           2           6
           1          32           3           3           6           4
           1          33           6           4           4           4
           1          34           2           2           6           4
           1          35           3           4           4           3
           1          36           2           5           3           1
           1          37           6           2           4           1
           1          38           4           2           6           5
           1          39           6           6           3           3
           1          40           1           6           1           2
           1          41           3           5           6           3
           1          42           6           6           4           3
           1          43           3           3           2           3
           1          44           6           4           5           4
           1          45           5           6           3           5
           1          46           2           2           3           6
           1          47           3           5           2           1
           1          48           2           6           5           2
           1          49           2           5           2           2
           1          50           2           4           2           6
           2           1           6           3           4           6
           2           2           6           2           6           1
           2           3           1           1           1           3
           2           4           6           6           2           4
           2           5           1           1           3           2
           2           6           3           5           5           1
           2           7           5           2           1           1
           2           8           5           5           5           2
           2           9           5           3           6           5
           2          10           6           3           6           1
           2          11           3           2           1           2
           2          12           6           4           5           6
           2          13           2           2           4           4
           2          14           1           4           1           2
           2          15           1           5           6           2
           2          16           6           6           6           6
           2          17           6           2           1           4
           2          18           3           2           3           5
           2          19           1           4           1           3
           2          20           1           2           1           5
           2          21           6           6           5           4
           2          22           5           3           4           1
           2          23           1           2           5           2
           2          24           5           6           6           4
           2          25           4           5           2           4
           2          26           2           2           1           5
           2          27           3           5           3           3
           2          28           2           6           4           1
           2          29           4           3           2           4
           2          30           3           2           3           3
           2          31           3           3           4           3
           2          32           3           2           1           3
           2          33           2           5           6           4
           2          34           2           5           5           3
           2          35           5           5           5           4
           2          36           3           3           4           4
           2          37           3           3           1           1
           2          38           2           5           2           2
           2          39           2           2           3           3
           2          40           4           1           6           6
           2          41           4           5           1           4
           2          42           6           3           2           2
           2          43           2           4           4           3
           2          44           4           6           6           4
           2          45           6           4           3           6
           2          46           5           6           6           2
           2          47           5           1           4           6
           2          48           4           5           3           6
           2          49           5           5           5           5
           2          50           5           1           4           4
           3           1           2           4           1           3
           3           2           4           6           6           6
           3           3           6           3           2           1
           3           4           2           6           5           5
           3           5           4           3           4           4
           3           6           1           6           5           5
           3           7           5           3           4           2
           3           8           4           1           4           5
           3           9           4           4           3           1
           3          10           6           3           3           3
           3          11           3           2           1           3
           3          12           6           3           3           2
           3          13           6           6           3           4
           3          14           3           6           1           4
           3          15           1           1           1           1
           3          16           1           5           6           2
           3          17           6           4           4           2
           3          18           5           5           3           2
           3          19           3           4           3           5
           3          20           6           3           2           3
           3          21           6           1           6           2
           3          22           1           4           2           3
           3          23           1           5           5           1
           3          24           3           2           6           6
           3          25           6           1           5           5
           3          26           6           4           4           6
           3          27           6           1           3           6
           3          28           4           4           5           3
           3          29           5           2           5           3
           3          30           6           1           1           1
           3          31           3           5           3           1
           3          32           3           1           1           6
           3          33           2           3           5           4
           3          34           6           4           1           1
           3          35           1           3           1           1
           3          36           1           3           3           3
           3          37           3           6           6           3
           3          38           4           3           2           5
           3          39           2           3           4           3
           3          40           4           4           5           1
           3          41           5           5           5           1
           3          42           5           1           5           4
           3          43           5           2           2           3
           3          44           2           5           6           6
           3          45           6           5           6           4
           3          46           6           2           6           4
           3          47           1           5           1           1
           3          48           1           4           6           2
           3          49           2           4           3           4
           3          50           6           5           6           1
           4           1           5           4           4           4
           4           2           4           1           1           6
           4           3           4           2           3           3
           4           4           3           1           6           6
           4           5           3           3           4           1
           4           6           2           6           6           3
           4           7           6           2           3           4
           4           8           1           4           2           1
           4           9           2           2           1           1
           4          10           3           3           6           3
           4          11           6           1           5           2
           4          12           5           2           6           3
           4          13           6           5           3           2
           4          14           2           4           4           6
           4          15           4           5           5           1
           4          16           5           1           5           1
           4          17           5           4           1           2
           4          18           4           6           1           1
           4          19           1           2           1           4
           4          20           6           5           4           3
           4          21           2           5           6           5
           4          22           6           1           5           4
           4          23           6           3           3           5
           4          24           2           4           6           4
           4          25           4           1           3           1
           4          26           3           4           6           5
           4          27           2           4           5           1
           4          28           3           2           1           5
           4          29           4           4           4           2
           4          30           1           1           2           1
           4          31           4           4           4           3
           4          32           4           4           2           4
           4          33           1           1           3           3
           4          34           4           4           2           6
           4          35           1           5           1           1
           4          36           1           2           6           4
           4          37           3           1           6           6
           4          38           4           4           5           3
           4          39           5           3           4           3
